Time,"High Vacuum Gauge","Low Vacuum Gauge","ProfEng-1.Target Set Point Loop 1","Plate Control.Process Value","Plate Control.Set Point","Plate Control.Closed-Loop Set Point","ProfEng-1.Target Set Point Loop 2","Shroud Control.Process Value","Shroud Control.Set Point","Shroud Control.Closed-Loop Set Point","LN2 Scale","LN2 Tare","LN2 Final","Plate Control.Profile Setpoint","Plate Control.Remote Setpoint","Shroud Control.Profile Setpoint","Shroud Control.Remote Setpoint","Mod3-1 RTDs.UI1-Filtered Process Value","Mod3-1 RTDs.UI2-Filtered Process Value","Mod3-1 RTDs.UI3-Filtered Process Value","Mod3-1 RTDs.UI4-Filtered Process Value","CommsErrorCode","CommsErrorItem","CommsErrors"
02/19/2026 10:21:15,5.6000E+002,7.7000E+002,1.0500E+002,2.3039E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1675E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:21:30,5.6300E+002,7.7000E+002,1.0500E+002,2.3053E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1675E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:21:45,5.6200E+002,7.7000E+002,1.0500E+002,2.3043E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1675E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:22:00,5.6100E+002,7.7000E+002,1.0500E+002,2.3045E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1686E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:22:15,5.6300E+002,7.7000E+002,1.0500E+002,2.3050E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1693E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:22:30,5.5800E+002,7.7000E+002,1.0500E+002,2.3052E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1674E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:22:45,5.5900E+002,7.7000E+002,1.0500E+002,2.3060E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1686E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:23:00,5.6100E+002,7.7000E+002,1.0500E+002,2.3059E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1670E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:23:15,5.5900E+002,7.7000E+002,1.0500E+002,2.3056E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1667E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:23:30,5.5900E+002,7.7000E+002,1.0500E+002,2.3053E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1665E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
